Quarter,Channel,Product_Line,Revenue,Product_Cost,Customer_Service_Cost,Profit
Q2,INT,Revolving Credit Products,272,197,26,49
Q3,INT,Revolving Credit Products,364,456,50,-142
Q3,ATM,Third Party Products,328,117,17,194
Q2,INT,Deposit Products,1184,502,52,629
Q2,INT,Deposit Products,1372,1708,417,-752
Q4,BRH,Revolving Credit Products,553,715,162,-325
Q2,EML,Fee Based Products,378,402,61,-85
Q1,EML,Revolving Credit Products,762,858,208,-304
Q1,INT,Revolving Credit Products,1386,1397,263,-274
Q1,MOP,Deposit Products,268,263,64,-59
Q4,INT,Deposit Products,1587,1959,487,-859
Q1,INT,Revolving Credit Products,1771,1896,457,-581
Q2,INT,Revolving Credit Products,306,126,15,165
Q4,CCT,Credit Products,300,259,47,-7
Q1,EML,Credit Products,380,247,48,84
Q3,BRH,Credit Products,681,524,114,43
Q2,BRH,Third Party Products,273,213,29,31
Q4,DSA,Credit Products,363,442,67,-146
Q1,CCT,Fee Based Products,290,219,32,38
Q4,INT,Fee Based Products,334,370,52,-88
Q1,BRH,Credit Products,491,214,37,240
Q4,MAL,Credit Products,1166,521,125,520
Q3,MAL,Revolving Credit Products,1102,382,78,643
Q4,BRH,Other Products,816,375,80,361
Q4,BRH,Credit Products,743,277,68,398
Q4,MAL,Credit Products,460,416,95,-52
Q4,TEL,Revolving Credit Products,767,938,174,-346
Q2,MAL,Credit Products,1019,458,55,506
Q2,ATM,Credit Products,875,1151,271,-547
Q4,ATM,Credit Products,223,190,32,0
Q3,ATM,Third Party Products,670,336,77,256
Q2,ATM,Fee Based Products,706,341,72,293
Q2,BRH,Fee Based Products,299,172,43,83
Q4,ATM,Deposit Products,576,658,77,-159
Q4,ATM,Revolving Credit Products,1284,910,174,201
Q4,CCT,Other Products,309,294,47,-32
Q3,ATM,Deposit Products,517,382,68,66
Q4,MAL,Credit Products,559,446,55,57
Q1,EML,Deposit Products,1216,679,118,419
Q1,ATM,Fee Based Products,768,548,61,160
Q3,CCT,Other Products,432,174,20,237
Q3,EML,Other Products,564,264,47,253
Q4,DSA,Credit Products,355,461,75,-181
Q2,CCT,Revolving Credit Products,649,349,85,215
Q1,INT,Fee Based Products,338,166,35,136
Q1,EML,Revolving Credit Products,1671,1780,204,-313
Q2,BRH,Other Products,646,743,132,-229
Q4,EML,Other Products,317,279,34,4
Q1,ATM,Revolving Credit Products,881,1070,251,-440
Q1,BRH,Third Party Products,299,390,74,-164
Q2,EML,Revolving Credit Products,422,518,91,-187
Q2,MAL,Revolving Credit Products,378,225,42,111
Q1,MAL,Deposit Products,1086,1246,225,-385
Q3,EML,Other Products,287,363,64,-140
Q4,TEL,Revolving Credit Products,335,423,61,-149
Q3,ATM,Fee Based Products,771,982,187,-398
Q3,INT,Credit Products,244,299,69,-123
Q4,MOP,Revolving Credit Products,249,234,51,-36
Q3,MAL,Other Products,252,245,43,-36
Q4,BRH,Revolving Credit Products,1087,437,107,544
Q2,INT,Credit Products,313,298,43,-28
Q2,ATM,Revolving Credit Products,1084,693,76,315
Q4,DSA,Revolving Credit Products,315,265,37,13
Q3,BRH,Third Party Products,264,292,64,-91
Q1,BRH,Revolving Credit Products,1583,848,147,589
Q1,MAL,Revolving Credit Products,1591,1729,233,-371
Q2,ATM,Deposit Products,525,277,33,214
Q4,EML,Third Party Products,225,180,36,8
Q2,MAL,Fee Based Products,294,295,67,-68
Q4,MAL,Credit Products,517,389,97,32
Q1,ATM,Fee Based Products,487,354,80,53
Q4,BRH,Other Products,853,918,155,-220
Q3,ATM,Revolving Credit Products,1331,669,108,554
Q3,DSA,Deposit Products,304,332,34,-63
Q1,CCT,Deposit Products,955,901,140,-86
Q3,ATM,Credit Products,1224,1520,371,-667
Q3,INT,Revolving Credit Products,294,321,51,-79
Q2,CCT,Revolving Credit Products,408,503,68,-164
Q3,BRH,Deposit Products,2936,3845,657,-1566
Q4,MAL,Revolving Credit Products,237,166,18,52
Q4,INT,Deposit Products,209,77,17,115
Q1,TEL,Revolving Credit Products,404,409,52,-56
Q2,TEL,Deposit Products,541,388,88,66
Q4,EML,Other Products,513,313,45,155
Q1,INT,Revolving Credit Products,1711,1404,204,103
Q2,TEL,Revolving Credit Products,716,470,105,141
Q1,TEL,Credit Products,625,244,57,324
Q1,BRH,Fee Based Products,485,498,99,-112
Q2,BRH,Credit Products,719,812,182,-276
Q4,MOP,Revolving Credit Products,249,294,50,-95
Q2,MOP,Revolving Credit Products,254,198,20,36
Q1,ATM,Deposit Products,3474,1633,389,1452
Q3,TEL,Revolving Credit Products,255,326,53,-124
Q1,INT,Other Products,371,491,106,-226
Q4,TEL,Revolving Credit Products,642,823,108,-289
Q3,BRH,Credit Products,447,282,64,101
Q3,ATM,Deposit Products,557,499,125,-66
Q4,MAL,Revolving Credit Products,306,338,52,-84
Q3,MAL,Deposit Products,1448,999,181,268
Q1,BRH,Fee Based Products,340,259,58,23
Q2,INT,Credit Products,1457,563,69,824
Q4,ATM,Third Party Products,598,791,177,-369
Q4,EVE,Credit Products,164,142,30,-8
Q2,EML,Other Products,405,522,105,-221
Q2,ATM,Third Party Products,531,233,25,273
Q1,DSA,Credit Products,363,258,41,64
Q4,BRH,Deposit Products,235,156,28,50
Q1,TEL,Revolving Credit Products,236,103,18,115
Q4,ATM,Third Party Products,630,420,87,123
Q4,MAL,Fee Based Products,209,115,22,72
Q1,BRH,Revolving Credit Products,576,368,70,137
Q4,TEL,Revolving Credit Products,233,149,27,57
Q2,CCT,Other Products,406,476,64,-135
Q1,ATM,Third Party Products,356,155,22,178
Q1,CCT,Deposit Products,1337,1096,114,127
Q4,INT,Credit Products,386,187,45,154
Q3,MAL,Credit Products,427,452,70,-95
Q4,BRH,Third Party Products,434,282,29,123
Q1,ATM,Other Products,1195,1359,180,-343
Q1,ATM,Revolving Credit Products,1084,1135,135,-186
Q4,MAL,Credit Products,293,293,62,-62
Q2,MAL,Credit Products,385,478,50,-143
Q2,INT,Credit Products,1637,1501,253,-117
Q3,ATM,Deposit Products,4194,5245,845,-1895
Q3,CCT,Revolving Credit Products,259,121,17,121
Q4,MAL,Revolving Credit Products,398,374,43,-19
Q2,DSA,Deposit Products,153,153,35,-35
Q2,CCT,Revolving Credit Products,1574,1491,319,-236
Q3,ATM,Third Party Products,636,322,66,247
Q2,EVE,Revolving Credit Products,197,98,13,86
Q2,TEL,Deposit Products,433,531,65,-163
Q3,CCT,Revolving Credit Products,371,286,53,32
Q4,EML,Deposit Products,1592,1988,403,-799
Q4,TEL,Other Products,159,73,8,78
Q1,TEL,Credit Products,227,144,24,59
Q2,TEL,Credit Products,716,885,124,-293
Q3,EML,Fee Based Products,309,305,37,-33
Q4,CCT,Third Party Products,188,159,31,-2
Q1,BRH,Deposit Products,249,216,39,-5
Q1,BRH,Credit Products,481,272,53,156
Q2,BRH,Revolving Credit Products,3153,4070,499,-1416
Q2,MAL,Other Products,405,391,50,-36
Q2,BRH,Credit Products,3238,1912,261,1064
Q4,INT,Revolving Credit Products,1990,2017,294,-320
Q4,INT,Credit Products,511,310,59,142
Q4,INT,Revolving Credit Products,409,430,79,-100
Q2,MAL,Fee Based Products,130,114,27,-11
Q3,EML,Fee Based Products,214,181,23,10
Q3,TEL,Deposit Products,454,245,28,181
Q2,BRH,Revolving Credit Products,2826,1969,294,563
Q1,EML,Other Products,430,328,81,20
Q1,TEL,Credit Products,202,84,19,99
Q2,EML,Credit Products,329,199,42,88
Q4,MOP,Credit Products,229,102,17,111
Q2,TEL,Revolving Credit Products,341,389,82,-130
Q1,EML,Other Products,170,72,16,83
Q2,INT,Fee Based Products,156,153,22,-18
Q1,EML,Fee Based Products,173,128,31,14
Q3,CCT,Credit Products,421,388,81,-48
Q3,INT,Credit Products,342,295,41,6
Q3,INT,Fee Based Products,298,217,38,43
Q3,MOP,Credit Products,266,306,47,-87
Q4,EVE,Deposit Products,258,94,15,150
Q1,INT,Revolving Credit Products,427,185,43,198
Q3,EML,Deposit Products,170,178,42,-50
Q1,CCT,Fee Based Products,203,135,24,44
Q3,INT,Credit Products,1966,1292,292,382
Q3,CCT,Third Party Products,127,147,16,-36
Q4,MOP,Credit Products,183,74,8,101
Q4,INT,Deposit Products,1530,1598,362,-431
Q3,ATM,Deposit Products,554,640,148,-233
Q3,TEL,Deposit Products,631,293,60,278
Q4,EML,Revolving Credit Products,490,326,70,94
Q3,BRH,Other Products,496,587,134,-226
Q1,INT,Fee Based Products,197,91,17,89
Q1,EML,Third Party Products,121,91,11,20
Q4,MAL,Revolving Credit Products,432,570,111,-249
Q3,MAL,Credit Products,409,276,42,91
Q1,EML,Deposit Products,1526,1518,376,-368
Q3,MAL,Revolving Credit Products,345,237,57,50
Q2,MAL,Other Products,328,135,34,159
Q3,BRH,Revolving Credit Products,452,279,48,124
Q1,BRH,Third Party Products,229,270,64,-105
Q4,ATM,Deposit Products,245,142,16,87
Q4,INT,Fee Based Products,357,404,83,-131
Q4,BRH,Deposit Products,325,149,31,145
Q4,CCT,Deposit Products,2232,1126,253,853
Q2,INT,Other Products,339,321,77,-60
Q1,CCT,Other Products,252,234,24,-6
Q2,INT,Third Party Products,173,198,40,-65
Q3,DSA,Credit Products,336,147,22,167
Q1,TEL,Revolving Credit Products,641,814,82,-255
Q1,CCT,Fee Based Products,208,78,15,115
Q2,CCT,Deposit Products,152,151,36,-36
Q2,EML,Other Products,157,62,7,88
Q1,BRH,Credit Products,435,544,85,-194
Q1,EML,Third Party Products,158,120,28,10
Q4,ATM,Deposit Products,163,102,16,44
Q3,MOP,Deposit Products,164,141,20,3
Q3,EML,Revolving Credit Products,1714,679,135,899
Q4,BRH,Credit Products,580,547,111,-78
Q4,EML,Deposit Products,169,132,19,17
Q2,MAL,Other Products,204,256,56,-108
Q2,DSA,Revolving Credit Products,298,239,32,27
Q1,MAL,Other Products,391,501,61,-171
Q2,EVE,Deposit Products,145,104,14,28
Q2,MAL,Other Products,224,258,28,-62
Q3,CCT,Fee Based Products,257,242,52,-37
Q4,ATM,Credit Products,1055,701,116,238
Q3,DSA,Deposit Products,240,124,28,88
Q1,INT,Revolving Credit Products,274,306,68,-100
Q4,INT,Fee Based Products,224,81,19,124
Q3,INT,Other Products,307,394,52,-138
Q3,CCT,Revolving Credit Products,374,484,69,-178
Q3,MAL,Fee Based Products,258,193,35,30
Q3,CCT,Deposit Products,133,82,12,39
Q2,EML,Credit Products,408,441,63,-97
Q4,BRH,Deposit Products,215,81,16,118
Q2,CCT,Fee Based Products,264,157,22,84
Q1,EML,Credit Products,298,276,43,-21
Q4,ATM,Other Products,153,83,10,59
Q4,ATM,Fee Based Products,1029,949,115,-35
Q1,ATM,Deposit Products,483,625,110,-252
Q4,MAL,Other Products,421,267,61,94
Q1,ATM,Fee Based Products,693,359,58,275
Q1,BRH,Fee Based Products,258,299,61,-101
Q4,EML,Revolving Credit Products,479,608,75,-204
Q4,MAL,Deposit Products,1174,530,121,524
Q2,EVE,Credit Products,112,74,14,24
Q4,MAL,Third Party Products,156,98,10,48
Q1,INT,Revolving Credit Products,315,383,68,-136
Q3,ATM,Credit Products,148,159,39,-51
Q1,MOP,Credit Products,106,40,5,60
Q4,INT,Revolving Credit Products,505,491,50,-35
Q1,MAL,Other Products,201,244,50,-93
Q1,INT,Fee Based Products,205,140,29,35
Q1,MAL,Fee Based Products,211,171,20,20
Q3,CCT,Credit Products,393,512,95,-214
Q4,EML,Fee Based Products,186,121,16,49
Q1,DSA,Deposit Products,252,267,60,-74
Q1,MOP,Credit Products,139,160,31,-52
Q2,EML,Third Party Products,116,85,18,13
Q3,MAL,Credit Products,406,477,91,-162
Q4,DSA,Revolving Credit Products,236,118,28,90
Q3,BRH,Third Party Products,306,318,37,-49
Q4,CCT,Revolving Credit Products,383,235,55,93
Q1,INT,Third Party Products,131,141,20,-30
Q3,BRH,Fee Based Products,454,501,98,-145
Q3,EML,Credit Products,318,178,32,108
Q2,EML,Fee Based Products,216,91,17,108
Q4,MAL,Deposit Products,1477,1256,286,-65
Q2,EML,Deposit Products,96,122,29,-55
Q4,INT,Fee Based Products,177,223,26,-73
Q1,MAL,Fee Based Products,209,211,36,-38
Q1,CCT,Revolving Credit Products,1566,1477,271,-182
Q1,TEL,Revolving Credit Products,254,140,28,86
Q3,BRH,Credit Products,2628,1559,291,778
Q2,ATM,Fee Based Products,692,784,124,-215
Q2,TEL,Credit Products,788,581,83,124
Q4,ATM,Other Products,153,159,30,-36
Q3,MAL,Deposit Products,178,156,36,-14
Q2,MOP,Revolving Credit Products,224,140,30,55
Q3,CCT,Revolving Credit Products,664,626,100,-61
Q4,INT,Fee Based Products,178,190,20,-31
Q4,INT,Other Products,376,455,100,-180
Q4,ATM,Other Products,149,92,14,43
Q2,INT,Other Products,340,243,41,56
Q4,INT,Third Party Products,175,175,30,-30
Q4,ATM,Third Party Products,145,84,20,41
Q4,MAL,Revolving Credit Products,1251,1085,126,40
Q4,EVE,Credit Products,159,77,16,66
Q3,CCT,Deposit Products,96,42,8,45
Q3,MAL,Credit Products,1013,575,107,331
Q3,TEL,Credit Products,152,134,22,-3
Q4,ATM,Revolving Credit Products,231,135,25,70
Q2,MOP,Credit Products,279,259,44,-23
Q2,MAL,Fee Based Products,326,147,21,157
Q3,MAL,Third Party Products,116,121,20,-25
Q2,MOP,Other Products,88,84,13,-9
Q1,BRH,Revolving Credit Products,462,489,53,-80
Q2,TEL,Deposit Products,498,560,105,-167
Q4,MAL,Third Party Products,246,267,34,-55
Q1,INT,Revolving Credit Products,190,185,37,-31
Q1,EML,Revolving Credit Products,348,339,60,-52
Q1,INT,Deposit Products,105,137,24,-56
Q2,MAL,Revolving Credit Products,346,449,54,-158
Q1,DSA,Revolving Credit Products,333,289,46,-2
Q1,CCT,Third Party Products,158,113,13,33
Q1,ATM,Revolving Credit Products,106,113,24,-30
Q1,MOP,Revolving Credit Products,220,267,61,-108
Q4,BRH,Deposit Products,230,227,42,-39
Q2,MAL,Revolving Credit Products,1614,1809,312,-507
Q1,MAL,Deposit Products,155,53,13,89
Q2,EML,Credit Products,1511,1879,254,-622
Q2,MAL,Deposit Products,151,183,33,-65
Q2,TEL,Credit Products,177,212,46,-81
Q4,BRH,Fee Based Products,280,98,22,160
Q1,CCT,Third Party Products,96,124,15,-43
Q3,MOP,Revolving Credit Products,246,92,9,144
Q3,CCT,Third Party Products,217,138,27,52
Q1,CCT,Credit Products,257,193,21,43
Q1,MOP,Revolving Credit Products,280,334,81,-136
Q4,MAL,Other Products,459,172,42,244
Q2,EML,Third Party Products,104,114,24,-34
Q4,INT,Deposit Products,1541,1643,190,-292
Q4,DSA,Deposit Products,176,72,13,91
Q2,TEL,Revolving Credit Products,237,105,13,120
Q4,INT,Other Products,403,504,86,-188
Q1,EML,Deposit Products,146,83,19,44
Q1,MAL,Other Products,244,97,21,126
Q4,CCT,Fee Based Products,227,136,26,65
Q3,CCT,Deposit Products,66,73,14,-21
Q4,INT,Third Party Products,212,99,19,95
Q1,MAL,Deposit Products,131,76,15,40
Q2,MOP,Credit Products,254,246,53,-44
Q2,CCT,Revolving Credit Products,250,229,42,-21
Q4,INT,Credit Products,403,349,49,5
Q4,INT,Credit Products,370,432,58,-120
Q4,EML,Deposit Products,187,173,35,-22
Q3,EML,Credit Products,334,256,26,52
Q1,ATM,Third Party Products,404,193,31,181
Q4,INT,Other Products,365,289,31,44
Q1,EVE,Revolving Credit Products,94,45,10,39
Q1,EVE,Revolving Credit Products,163,137,17,8
Q1,EVE,Revolving Credit Products,135,62,11,61
Q2,ATM,Third Party Products,64,35,7,22
Q4,INT,Credit Products,276,142,19,115
Q3,INT,Fee Based Products,220,269,42,-91
Q3,INT,Third Party Products,114,118,16,-20
Q2,TEL,Revolving Credit Products,217,105,12,100
Q2,MAL,Other Products,61,25,4,32
Q3,INT,Deposit Products,207,136,32,38
Q2,BRH,Other Products,564,731,146,-313
Q1,ATM,Other Products,71,32,5,34
